"Row #","Task","Column","Reason"
"1","WSIB - Univerca","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"2","WSIB - Star","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"7","Smart Sourcing Professional Plan - ZPL","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"9","Tax Invoice CAI26-00108092 - Indeed - ZPL","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"10","Indeed - Prepaid Sponsored Jobs - CAI26-00120246 - ZPL","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"12","Prepaid Sponsored Jobs on Indeed - Tax Invoice CAI26-00148007 - ZPL","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"15","Indeed","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"16","Indeed","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"18","Prepaid Sponsored Jobs - Indeed","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"19","Trial Ticket","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"20","Smart Sourcing Professional Plan - Indeed","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"69","Bids and Tenders","People","Person 'radhika' not found in workspace — assignment skipped"
"95","Amazon - PCC- Safety Glasses","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5504","Amazon- Safety Glasses (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5532","ISSA Certificate Payment (copy)","People","Person 'atique, radhika, salman rehan, hamood ur rehman' not found in workspace — assignment skipped"
"5544","Prepaid Sponsored Jobs on Indeed (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5546","Smart Sourcing Professional Plan (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5562","Indeed - NE - Campaign Start Date: July 20, 2026 (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5563","Indeed - NE - Smart Sourcing - July - Aug (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5564","Indeed - NE - Smart Sourcing - June - July (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5565","Indeed - NE - Campaign Start Date: June 3, 2026 (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5566","Indeed - ZPL - Smart Sourcing - July - Aug 2026 (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5567","Indeed - ZPL - Campaign Start Date: July 29, 2026 (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
"5626","Indeed - ZPL - Campaign Start Date: August 26, 2026 (copy)","People","Person 'pankhuri sharma' not found in workspace — assignment skipped"
